日,休日,現地気圧,海面気圧,降水量,平均気温,最高気温,最低気温,平均湿度,最小湿度,平均風速,最大風速,最大瞬間風速,日照時間
2018/1/1,1,1023.2,1025.1,--,6.4,8.4,2.2,53,44,3.6,7.1,11.4,1.3
2018/1/2,0,1024.8,1026.7,--,5.6,11.1,1.1,59,38,1.8,4.9,7.1,8.5
2018/1/3,0,1023.9,1025.8,--,7.6,10.8,3.7,49,33,3.9,7.1,11.8,7.4
2018/1/4,0,1021.8,1023.6,--,6.2,9.5,3,58,44,1.5,3.6,4.7,1.4
2018/1/5,0,1015.7,1017.6,2.5,6.2,7.8,4,77,50,1.8,3.8,5.9,0
2018/1/6,1,1018.3,1020.2,--,7.5,10.7,4.6,54,41,2.9,6.5,10,7.7
2018/1/7,1,1018.8,1020.6,0.5,7.4,10.1,3.5,59,43,2,4,7.4,0.3
2018/1/8,1,1007.4,1009.2,20.5,10.9,15.6,7.7,88,59,2.5,6.4,12,0
2018/1/9,0,1011.8,1013.7,1.5,6.3,9.6,3.2,58,45,4.6,7.7,14.6,0.8
2018/1/10,0,1015,1016.9,28.5,3.2,6.7,0.9,81,42,3.5,8,15.5,0.7
2018/1/11,0,1021.6,1023.5,0,2.2,3,1.5,47,31,5.3,7.9,16,0.5
2018/1/12,0,1026,1027.9,0,1.5,3.8,0.3,52,34,4,7.7,13.1,4.2
2018/1/13,1,1029.1,1031,0,3.2,5.5,0.3,62,37,2.7,6.2,11.2,0.1
2018/1/14,1,1028.6,1030.5,0,4,7.9,1.1,70,43,1.9,3.9,7.4,0.5
2018/1/15,0,1023.7,1025.6,0,5.9,9.2,1.5,75,67,2.2,3.7,6.9,0.1
2018/1/16,0,1016.1,1017.9,4.5,12.4,18.6,4.7,70,48,3.3,8,14,5.2
2018/1/17,0,1012.6,1014.4,20.5,11.5,13.6,8.9,95,85,2.1,5.7,8.8,0
2018/1/18,0,1019.1,1020.9,0,9.6,12.9,6.9,78,57,1.7,4.3,7.4,0.6
2018/1/19,0,1019,1020.8,--,8.9,13.1,6.3,73,50,1.7,5.1,7.4,4.1
2018/1/20,1,1018.8,1020.7,--,8,13.3,4.3,69,40,1.9,4.9,6.8,8
2018/1/21,1,1019,1020.9,--,7.6,12.9,2.8,62,41,2.2,6.6,9.9,8
2018/1/22,0,1013.3,1015.1,9.5,6.6,8.7,4.9,77,53,1.5,3.4,5,2.4
2018/1/23,0,1017,1018.9,0,5.6,9.9,2.2,56,40,4.4,7.6,14,4.8
2018/1/24,0,1021.3,1023.2,0,1.4,3,0.2,50,39,5.5,8.6,14,3.1
2018/1/25,0,1021.1,1023,0,1.5,4.3,0,50,34,3.8 ),7,12,3.4
2018/1/26,0,1020.8,1022.7,0,1.9,4.2,0.9,49,39,5.4,7.6,12.4,5.4
2018/1/27,1,1022.6,1024.5,--,3.5,8.5,0.6,55,43,2.3,5.8,9.3,7.6
2018/1/28,1,1017.1,1019,1.5,4.2,5.6,2.2,77,62,1.7,3.3,5.8,0
2018/1/29,0,1017.5,1019.4,0,3.8,5.5,2.5,60,43,4.2,8,12.1,1.7
2018/1/30,0,1022.6,1024.5,0,3,6.2,1,52,36,3.5,7.9,11.8,3.3
2018/1/31,0,1024.3,1026.2,--,4.1,9.1,-0.4,60,41,1.9,4.3,6.3,4.8
2018/2/1,0,1022.7,1024.6,0,5.9,9.3,4,71,52,2,7.6,10.5,3.5
2018/2/2,0,1022.4,1024.3,3,5.1,7.1,2.5,85,65,1.2,2.9,6,0.6
2018/2/3,1,1021,1022.9,0,4.7,8.1,3.3,57,36,3,5.9,10.8,3.3
2018/2/4,1,1022.1,1024,1,1.3,3.7,-0.2,53,40,4.4,7.6,14.1,3
2018/2/5,0,1022,1023.9,0,1,3.1,-0.5,51,34,5.7,9.8,15.8,3.9
2018/2/6,0,1020.5,1022.4,0,0.5,2.3,-1.8,56,39,4.6,7.5,15.6,1.5
2018/2/7,0,1022.1,1024,0,1.7,5.1,-0.7,50,34,3.3,6.7,11.2,7.2
2018/2/8,0,1022,1023.9,--,2.7,8.6,-1.3,58,38,2.2,4.2,6.1,8.9
2018/2/9,0,1021.4,1023.2,--,8,14.6,1.4,50,34,2.4,5,8.7,3.9
2018/2/10,1,1016.8,1018.6,13.5,7.2,9.2,4.8,91,62,1.8,5.1,8.3,0
2018/2/11,1,1019.9,1021.8,5.5,3.5,6.8,0.5,58,30,4.7,8.7,14.7,2.9
2018/2/12,1,1020,1021.9,0.5,3,5.2,0.8,59,47,4.7,7.6,15.5,1.4
2018/2/13,0,1022.7,1024.6,0,3.9,6.9,1,55,42,3.7,8.4,14,4.3
2018/2/14,0,1019.5,1021.4,--,8.2,14.3,0.7,62,46,3.4,6.8,12,9.1
2018/2/15,0,1016.4,1018.3,11,8.9,12,4.9,88,61,1.4,3.5,5.9,0.7
2018/2/16,0,1014.1,1015.9,0,6.8,10.3,3.7,81,53,1.2,4,6.3,0
2018/2/17,1,1018.9,1020.8,--,6.9,10.3,3.2,49,28,3.3,6.9,10.8,10.2
2018/2/18,1,1021.6,1023.4,--,7,12.1,2.1,52,35,2.2,5,7.3,8.5
2018/2/19,0,1019.4,1021.2,0,8.6,10.9,6.6,65,55,2.1,5.5,7.8,0
2018/2/20,0,1018.3,1020.1,--,8.7,13.8,3.3,60,42,2.3,6.5,9,9.8
2018/2/21,0,1017.9,1019.7,0,8.9,11.7,6.7,56,42,2.9,6.9,10.3,3.4
2018/2/22,0,1019.5,1021.4,--,7.1,11.6,4.5,59,42,2.5,6,8.6,6.2
2018/2/23,0,1022.6,1024.5,--,7.1,12.7,2.1,60,42,2.1,5.9,9.5,9.4
2018/2/24,1,1024.9,1026.8,--,9.3,16.8,3.7,56,29,2.3,5.2,7.1,9.2
2018/2/25,1,1021.1,1023,1.5,8.6,9.9,7.1,80,66,1.1,3.1,4.6,0
2018/2/26,0,1021.3,1023.2,0,9,14.7,4.8,74,48,2.4,7.4,10,9.3
2018/2/27,0,1022,1023.9,--,8.9,15.1,3.2,58,27,1.7,5.4,6.9,9.9
2018/2/28,0,1007.8,1009.6,21,11.3,15.6,6.5,72,54,3.5,10.4,21.6,0.1
2018/3/1,0,1007.3,1009.1,0.5,10.4,14.6,7.4,61,44,5.3,10.2,21.3,3.1
2018/3/2,0,1015,1016.8,--,8.4,13.5,4.3,62,46,2,4.5,6,10.4
2018/3/3,1,1014.1,1015.9,1,9.7,13.1,6,69,40,2.3,9.1,16,1.7
2018/3/4,1,1012.9,1014.7,0,14.8,21,7.4,73,50,2.1,6.4,12.8,10.7
2018/3/5,0,1010.2,1012,25,12.4,19.5,8.5,88,69,5.3,9.9,16.3,0
2018/3/6,0,1023.6,1025.5,0,9.5,13.7,7.3,64,48,5.8,10.8,16,8.1
2018/3/7,0,1022.6,1024.4,0,10.5,15.6,5.9,62,47,2.1,4.7,6.7,2.4
2018/3/8,0,1010,1011.8,23,10.8,14.4,7.9,92,69,4.5,9.4,15.4,0
2018/3/9,0,1019.3,1021.2,2.5,7.2,8.4,5.7,69,56,6.7,10.9,17.7,0
2018/3/10,1,1022.6,1024.5,--,8.1,12.3,4.9,58,43,2.1,5.5,7.3,9.9
2018/3/11,1,1023,1024.8,--,9.9,15.8,5.1,65,43,2.2,6,8,10.7
2018/3/12,0,1022.2,1024.1,--,10.9,16.8,5.1,60,34,1.8,4.4,5.6,9.1
2018/3/13,0,1020.2,1022,--,14.5,21.8,8.4,67,41,2.3,6.5,8.9,8.4
2018/3/14,0,1020.3,1022.1,--,16.5,23,11.3,67,44,2.1,4.8,6.8,10.6
2018/3/15,0,1015.2,1017,8,17,19.9,13.8,67,43,3.1,8.1,12.3,1.2
2018/3/16,0,1018,1019.8,32,9.6,15.9,6,79,56,6.5,10.2,17.8,0
2018/3/17,1,1024.5,1026.3,--,9,15.1,4.6,58,21,2.7,5.6,8.3,11
2018/3/18,1,1019.9,1021.7,0,13.2,19,7.8,60,45,1.9,4.2,6.4,5.3
2018/3/19,0,1010,1011.8,8.5,15,17.6,11,89,68,3.6,9.6,14.5,0
2018/3/20,0,1014,1015.8,13.5,9.1,11,6.7,87,75,5.6,8.7,14.5,0
2018/3/21,1,1004.8,1006.6,27.5,7.6,8.8,6.4,93,85,4.2,10.8,18.6,0
2018/3/22,0,1010.3,1012.2,6,7.7,10.9,4,77,57,5.4,10.1,19.4,1.6
2018/3/23,0,1017.1,1019,--,9.2,16.3,3,68,43,2.4,6.1,9.6,11.1
2018/3/24,1,1020.7,1022.6,--,11.5,18.3,6,60,33,2.5,6,9.3,11.3
2018/3/25,1,1022.9,1024.7,--,13.1,20,8.3,64,44,2.4,6.3,9.6,10.4
2018/3/26,0,1020.4,1022.2,--,14.3,20.1,9.5,57,30,2.4,6.7,9.8,11.1
2018/3/27,0,1017.9,1019.7,--,15.3,21.4,10,58,30,2.2,5.5,8,11
2018/3/28,0,1016.9,1018.7,--,15.8,21.4,10.6,64,37,2.2,5.7,8.2,11.3
2018/3/29,0,1018.1,1019.9,--,16.2,21.5,12,71,56,2.7,6,8.6,10.7
2018/3/30,0,1020.4,1022.2,--,15.7,21.1,12.8,71,52,3,6.8,11.5,10.5
2018/3/31,1,1019,1020.8,--,15.9,21.8,9.8,56,33,2,5.2,6.9,10.8
2018/4/1,1,1016.8,1018.6,--,18.4,23.6,14.1,65,48,2.1,6,7.7,9.4
2018/4/2,0,1016,1017.8,--,19.3,24.8,15.1,64,39,2.3,5.6,8.3,9.2
2018/4/3,0,1017.1,1018.8,--,20.2,25.5,15.7,66,49,2.5,5.8,7.9,11
2018/4/4,0,1016.3,1018.1,0,17.8,24.3,14.1,75,50,2.9,8.7,13,2.5
2018/4/5,0,1014.7,1016.5,2.5,16.5,20.7,13.9,82,66,2.3,5.1,7.1,5.7
2018/4/6,0,1007.9,1009.7,15.5,15.2,19.7,10.4,78,43,4.1,7.7,16.7,0.1
2018/4/7,1,1013.5,1015.3,0.5,8.9,10.6,6.8,48,33,5.3,7.7,16,1.6
2018/4/8,1,1017.6,1019.4,--,11.5,15.6,8.1,41,30,3.6,5.7,11.5,8.8
2018/4/9,0,1016.9,1018.7,--,16,22.1,12.1,63,39,3.3,6.7,12.6,9.5
2018/4/10,0,1016.3,1018.1,--,18.7,24,12.9,58,30,3.4,6.3,13.9,11.4
2018/4/11,0,1010.1,1011.9,0,20.5,24.4,16.8,68,40,2.9,5.4,11,2.4
2018/4/12,0,1015.2,1017,--,17.9,23,13.3,53,23,2,4.7,6.4,10.5
2018/4/13,0,1019.3,1021.1,--,18.3,24.1,13,40,12,3.3,8.2,12.2,11.7
2018/4/14,1,1006.7,1008.5,5.5,19,23.1,16,68,22,4.4,8.4,15.1,0
2018/4/15,1,1009,1010.8,5.5,14.3,17.4,11.9,71,46,3.8,6.7,10.8,6.2
2018/4/16,0,1015.7,1017.5,--,15,20.3,10.3,64,48,3.2,7.2,11.4,8.1
2018/4/17,0,1017.6,1019.4,1.5,14.4,16.3,11.4,71,52,2.3,5.9,9.1,0
2018/4/18,0,1016,1017.8,--,15.2,20.7,10,70,41,2.4,6.2,8.4,11.6
2018/4/19,0,1016.6,1018.4,--,16.3,22,10.6,65,41,2.4,5.2,7.1,12.3
2018/4/20,0,1018.3,1020.1,--,17.9,25.1,13.1,67,30,2.3,6,8.1,12.2
2018/4/21,1,1018.3,1020,--,19.7,24.5,15.4,65,42,2.3,6.1,8.4,11.7
2018/4/22,1,1017.2,1018.9,--,19.9,25,15.8,72,51,2.9,8.5,11.7,11.2
2018/4/23,0,1013.2,1015,2,20.8,25.7,17.4,73,52,2.2,5.3,9.4,0.3
2018/4/24,0,1005.4,1007.2,28,17.9,22.2,13.7,88,62,4.6,9.8,16.3,0
2018/4/25,0,1009.9,1011.7,0,14,15.7,11.1,79,71,5.6,8.4,14.3,0.1
2018/4/26,0,1012.2,1014,--,14.6,19.7,9.7,74,58,2.1,4.9,7.4,7.9
2018/4/27,0,1012.5,1014.3,--,17.2,22.9,13.2,64,30,2.9,6.5,9.2,9.2
2018/4/28,1,1015.7,1017.4,--,17.3,22.6,11.5,62,41,2.2,5.5,8,12.2
2018/4/29,1,1013.6,1015.4,--,20,25.7,14.2,54,22,2.4,5.5,9.2,11.6
2018/4/30,1,1014.3,1016,0,20.8,26.4,17.7,60,35,2.7,6,8.4,8.2
2018/5/1,0,1013.5,1015.2,2,20.8,27.8,15.9,62,30,2.4,5.1,7.7,5.5
2018/5/2,0,1005.1,1006.8,13.5,20.8,23.1,17.1,86,76,3,6.2,11.7,0
2018/5/3,1,1009,1010.8,0,16.9,21,14.4,52,24,5.2,8.7,17.2,11.4
2018/5/4,1,1014.7,1016.5,--,17,21.6,13.9,42,23,4.4,7.2,14.8,12.9
2018/5/5,1,1017.4,1019.2,--,19.3,26.4,12.6,48,26,2.4,4.2,7.1,10.1
2018/5/6,1,1009.5,1011.3,28,18.2,19.5,16.6,77,52,2.7,8.5,18.9,0
2018/5/7,0,1003.8,1005.6,49,17.9,20.1,16.2,97,93,2.6,6.8,11,0
2018/5/8,0,1008.2,1010,7,16,17.7,14.6,89,82,4.7,9.3,14,0
2018/5/9,0,1017.5,1019.3,--,15.4,19,12.2,70,57,5.8,9.5,14.4,2.3
2018/5/10,0,1020.9,1022.7,--,15.5,20.6,10.4,68,47,2.6,6.6,9.4,13
2018/5/11,0,1017.6,1019.4,--,19,25.3,11.3,55,38,2.4,6.4,8.8,11.9
2018/5/12,1,1012.6,1014.3,--,21.5,27.1,16.7,59,36,2.7,6.6,9.5,11.7
2018/5/13,1,1006.9,1008.6,18,20.5,23,17.4,84,58,2.1,6.1,9.7,0
2018/5/14,0,1010.2,1011.9,--,20.5,26.3,15.8,75,45,2.3,4.6,6.8,12.6
2018/5/15,0,1010.8,1012.5,--,23.4,30.5,17.2,57,38,2,4.4,5.8,11.2
2018/5/16,0,1009.4,1011.1,0,26,31.6,20.2,55,42,2.8,5.8,12,7.3
2018/5/17,0,1007.8,1009.5,0,26.8,30.6,24.6,69,56,2.7,6.5,10.3,4.6
2018/5/18,0,1005.3,1007.1,7,24.1,29.3,16.8,81,64,3.8,7.6,12.5,0.7
2018/5/19,1,1012,1013.8,0.5,17.1,20.1,15.5,76,60,5.2,7.8,12.7,2
2018/5/20,1,1014.1,1015.8,0,18.6,22.7,15,57,38,4.8,10.1,15.1,9.7
2018/5/21,0,1013.8,1015.6,--,22.3,28.5,17.2,55,29,2.8,6,10.8,10.4
2018/5/22,0,1010.9,1012.6,0,23,28.1,18.4,57,43,2.7,5.9,8.3,9.9
2018/5/23,0,1004.2,1006,4,20.8,24.5,18.5,82,61,3.1,6.1,10,0.5
2018/5/24,0,1008.5,1010.2,--,21.1,26.1,15.9,63,36,2.6,5,7.3,12.1
2018/5/25,0,1007,1008.7,--,23,29,18.9,47,27,2.3,4.8,7.8,7.4
2018/5/26,1,1006.6,1008.3,4,22.3,27.2,19.4,69,42,2.5,7.2,11.9,7.2
2018/5/27,1,1009.3,1011.1,--,22.7,29.3,17.4,61,35,2.1,6,8.6,7.8
2018/5/28,0,1008.6,1010.3,1,22.7,25.1,20.6,76,62,1.8,4.9,7.2,0
2018/5/29,0,1009.4,1011.1,0,23.3,27.6,20.3,77,60,1.9,5.2,7.3,2.4
2018/5/30,0,1008.9,1010.6,0,24.6,29.9,22,75,57,2.3 ),5.9,8.1,6
2018/5/31,0,1008.9,1010.7,--,22.2,24.6,19.5,75,60,2.6,5.6,8.1,0
2018/6/1,0,1012.2,1013.9,--,21.5,25.3,17.8,69,55,3.1,7.5,10.5,13.3
2018/6/2,1,1013,1014.7,--,23.3,29.3,17.2,64,43,2.2,5.2,7.1,13.2
2018/6/3,1,1012.6,1014.3,--,23.6,29.2,19.7,63,50,2.2,5.9,8.3,7.7
2018/6/4,0,1011.9,1013.6,--,24.4,29.3,20.5,54,43,2.2,6,8.3,9.4
2018/6/5,0,1010,1011.8,41.5,20.8,23.3,18.7,84,50,2.3,5.2,10.6,0
2018/6/6,0,1009.8,1011.5,2,20.5,22.7,18.7,92,80,1.5,4.1,5.7,0.1
2018/6/7,0,1010.1,1011.8,0,23.6,27.6,20,78,64,1.9,5.5,7.7,7.4
2018/6/8,0,1006.1,1007.8,1,24.6,29.3,22.5,85,70,2.2,5.5,7.6,3.5
2018/6/9,1,1004.2,1005.9,--,23.9,27.4,22,77,62,3.6,7.5,11.3,10.6
2018/6/10,1,999.7,1001.4,0,24.3,28.5,21.7,75,62,2.8,5.5,8.6,3.3
2018/6/11,0,996.7,998.4,50,20.8,22.8,18.6,95,81,4.1,8.7,12.6,0
2018/6/12,0,1001.8,1003.5,1,20.4,24,18.3,75,55,3.8,6.6,11.4,8.3
2018/6/13,0,1005.5,1007.2,--,21.2,25.8,16.6,70,56,3.7,9,12.9,13.5
2018/6/14,0,1005.3,1007,--,22.4,26.4,18.7,73,58,1.7,3.8,5.8,1.9
2018/6/15,0,1006.6,1008.3,--,22.5,25.9,20.3,73,61,5,9.9,14.5,11.5
2018/6/16,1,1009.2,1010.9,--,22.1,25.7,19.5,72,59,3.9,9.9,13.3,11
2018/6/17,1,1007,1008.7,--,25.3,31.4,19.1,61,44,2.3,5.8,10.1,11.1
2018/6/18,0,1005.7,1007.4,5.5,24.5,29.7,20.6,74,56,2.5,5.4,9.7,1.8
2018/6/19,0,1003.5,1005.2,17,23.5,26,21.7,83,64,2.1,4.8,8.8,0
2018/6/20,0,1001.2,1002.9,30.5,22.4,25.7,20.9,88,70,2.3,6.6,10.3,3.6
2018/6/21,0,1004.9,1006.6,0,24.3,29.1,20.7,73,49,2.2,5,6.3,9.6
2018/6/22,0,1006.7,1008.4,--,24.7,29.8,21,72,39,2.4,6.3,9,8
2018/6/23,1,1003.7,1005.4,1.5,22.3,24.5,20.8,79,67,2.1,4.7,8,0.2
2018/6/24,1,1007,1008.7,--,24.3,29.4,19.1,74,49,2.4,5.6,7.5,12.8
2018/6/25,0,1010.3,1012,--,25.7,30.7,21.3,66,40,2.5,5.8,8.9,12.8
2018/6/26,0,1009.6,1011.3,9,27.6,31.7,22.9,72,59,3.7,7.2,13.4,1.6
2018/6/27,0,1005.7,1007.4,3,28.8,31.7,26,66,52,5.6,8.3,15.7,2
2018/6/28,0,1002.8,1004.5,0,28.9,30.5,23.9,66,60,4.8,8.4,16.3,0.3
2018/6/29,0,1004.6,1006.3,66,25.4,27.9,22,83,67,2.8,6,12.8,0.4
2018/6/30,1,1010.2,1011.9,39,24.8,27.7,21.6,89,76,2.1,5.3,10.2,0
2018/7/1,1,1009.2,1010.9,0,29.3,35.2,23.8,67,46,2.7,6.3,10.7,5.7
2018/7/2,0,1006.7,1008.4,0.5,29,31.8,26.3,68,55,2.4,4.8,8.6,0.3
